ID;student_ID;course_ID;grade;semester;year
e0000001-0001-0001-0001-000000000001;a1b2c3d4-e5f6-7890-abcd-ef1234567890;11111111-1111-1111-1111-111111111111;A;Fall;2023
e0000002-0002-0002-0002-000000000002;a1b2c3d4-e5f6-7890-abcd-ef1234567890;33333333-3333-3333-3333-333333333333;A-;Fall;2023
e0000003-0003-0003-0003-000000000003;b2c3d4e5-f6a7-8901-bcde-f12345678901;11111111-1111-1111-1111-111111111111;D;Fall;2023
e0000004-0004-0004-0004-000000000004;b2c3d4e5-f6a7-8901-bcde-f12345678901;55555555-5555-5555-5555-555555555555;C;Fall;2023
e0000005-0005-0005-0005-000000000005;c3d4e5f6-a7b8-9012-cdef-123456789012;22222222-2222-2222-2222-222222222222;B+;Spring;2023
e0000006-0006-0006-0006-000000000006;d4e5f6a7-b8c9-0123-defa-234567890123;11111111-1111-1111-1111-111111111111;F;Fall;2022
e0000007-0007-0007-0007-000000000007;e5f6a7b8-c9d0-1234-efab-345678901234;44444444-4444-4444-4444-444444444444;B;Spring;2023
e0000008-0008-0008-0008-000000000008;f6a7b8c9-d0e1-2345-fabc-456789012345;66666666-6666-6666-6666-666666666666;A+;Fall;2023
e0000009-0009-0009-0009-000000000009;a7b8c9d0-e1f2-3456-abcd-567890123456;77777777-7777-7777-7777-777777777777;D-;Fall;2023
e0000010-0010-0010-0010-000000000010;h8c9d0e1-f2a3-4567-bcde-678901234567;88888888-8888-8888-8888-888888888888;B-;Spring;2023
